Tarefa,Fase,Semana,Data Início,Canal,Status,Notas
Criar conta Instagram com bio + link WhatsApp,Fase 1 — Fundação,Semana 1,28/04/2026,Instagram,Por fazer,
Criar grupo WhatsApp com nome + regras + mensagem de boas-vindas,Fase 1 — Fundação,Semana 1,28/04/2026,WhatsApp,Por fazer,
Definir identidade visual no Canva (paleta + tipografia + templates),Fase 1 — Fundação,Semana 1,28/04/2026,Instagram,Por fazer,
Auditoria ao website e LinkedIn existentes,Fase 1 — Fundação,Semana 1,28/04/2026,Website,Por fazer,
Contactar os primeiros 3 candidatos a speaker/entrevista,Fase 1 — Fundação,Semana 1,28/04/2026,Webinar,Por fazer,
Publicar os primeiros 3 posts no Instagram,Fase 1 — Fundação,Semana 2,05/05/2026,Instagram,Por fazer,
Gravar a 1.ª entrevista,Fase 1 — Fundação,Semana 2,05/05/2026,Podcast,Por fazer,
Configurar plataforma de podcast (Anchor ou Buzzsprout),Fase 1 — Fundação,Semana 2,05/05/2026,Podcast,Por fazer,
Recrutar primeiros 10–15 membros WhatsApp via rede pessoal,Fase 1 — Fundação,Semana 2,05/05/2026,WhatsApp,Por fazer,
Confirmar pelo menos 1 speaker para o webinar,Fase 1 — Fundação,Semana 2,05/05/2026,Webinar,Por fazer,
3 posts Instagram — tema: identidade digital com blockchain,Fase 2 — Crescimento,Semana 3,12/05/2026,Instagram,Por fazer,
Gravar a 2.ª entrevista,Fase 2 — Crescimento,Semana 3,12/05/2026,Podcast,Por fazer,
Publicar 1 artigo no LinkedIn sobre a Portuguese Digital Wallet,Fase 2 — Crescimento,Semana 3,12/05/2026,LinkedIn,Por fazer,
Primeiro desafio ou pergunta na comunidade WhatsApp,Fase 2 — Crescimento,Semana 3,12/05/2026,WhatsApp,Por fazer,
Publicar episódio 1 do podcast,Fase 2 — Crescimento,Semana 4,19/05/2026,Podcast,Por fazer,
Anunciar o webinar no Instagram e no WhatsApp,Fase 2 — Crescimento,Semana 4,19/05/2026,Webinar,Por fazer,
Abrir página de registo do webinar no website,Fase 2 — Crescimento,Semana 4,19/05/2026,Website,Por fazer,
Gravar a 3.ª entrevista,Fase 2 — Crescimento,Semana 4,19/05/2026,Podcast,Por fazer,
Confirmar os 3 speakers do webinar,Fase 2 — Crescimento,Semana 4,19/05/2026,Webinar,Por fazer,
3 posts de contagem decrescente para o webinar,Fase 2 — Crescimento,Semana 5,26/05/2026,Instagram,Por fazer,
Publicar clips teaser com os speakers (30–60 seg.),Fase 2 — Crescimento,Semana 5,26/05/2026,Instagram,Por fazer,
Enviar convite formal a professores e associações de TI,Fase 2 — Crescimento,Semana 5,26/05/2026,Webinar,Por fazer,
Gravar a 4.ª entrevista,Fase 2 — Crescimento,Semana 5,26/05/2026,Podcast,Por fazer,
Ensaio técnico com os 3 speakers,Fase 3 — Evento,Semana 6,02/06/2026,Webinar,Por fazer,
Publicar episódio 2 do podcast,Fase 3 — Evento,Semana 6,02/06/2026,Podcast,Por fazer,
Publicar programa completo do webinar,Fase 3 — Evento,Semana 6,02/06/2026,Website,Por fazer,
Push final de registos: Instagram + WhatsApp + LinkedIn,Fase 3 — Evento,Semana 6,02/06/2026,Instagram,Por fazer,
Realização do webinar (sugestão: 11 de junho),Fase 3 — Evento,Semana 7,09/06/2026,Webinar,Por fazer,
Cobertura ao vivo no Instagram Stories,Fase 3 — Evento,Semana 7,09/06/2026,Instagram,Por fazer,
Publicar gravação no YouTube e/ou LinkedIn (até 48h depois),Fase 3 — Evento,Semana 7,09/06/2026,Website,Por fazer,
Clips dos melhores momentos nas redes,Fase 3 — Evento,Semana 7,09/06/2026,Instagram,Por fazer,
Follow-up WhatsApp: agradecimentos + próximos passos,Fase 3 — Evento,Semana 7,09/06/2026,WhatsApp,Por fazer,
Publicar destaques e agradecimentos do webinar,Fase 4 — Consolidação,Semana 8,16/06/2026,Instagram,Por fazer,
Gravar e publicar a 5.ª entrevista (se aplicável),Fase 4 — Consolidação,Semana 8,16/06/2026,Podcast,Por fazer,
Redigir relatório de resultados com KPIs vs objetivos,Fase 4 — Consolidação,Semana 8,16/06/2026,Website,Por fazer,
Preparar proposta de continuidade para os próximos 3 meses,Fase 4 — Consolidação,Semana 8,16/06/2026,Webinar,Por fazer,
